999999,160,1,8,11,14,7,6,0,55,31,5,9,4,13334455667778
999999,160,2,8,13,8,3,6,2,40,51,2,6,2,22223667
999999,160,3,15,11,11,8,7,0,103,35,5,6,3,13344566899
999999,160,4,14,14,10,8,8,0,96,45,5,5,4,1234566999
999999,160,5,11,9,16,2,4,2,62,30,11,5,8,1224444456677999
999999,160,6,8,11,15,4,4,1,53,47,9,6,6,122334455678888
999999,160,7,10,11,12,3,6,4,56,39,8,4,6,222444466679
999999,160,8,9,17,10,4,8,0,48,69,6,4,4,1123335899
999999,160,9,11,13,11,7,6,2,73,47,5,6,2,23357788899
999999,160,10,13,8,16,7,4,2,69,23,7,9,6,1123334455678889
999999,160,11,12,14,13,5,8,2,65,54,3,10,3,1233457788899
999999,160,12,7,13,13,4,6,0,35,45,6,7,2,2234566777899
999999,160,13,5,12,17,3,9,0,32,46,10,7,7,33445666667778889
999999,160,14,9,12,16,3,5,2,62,41,7,9,4,2233334556677889
999999,160,15,14,9,10,6,6,1,91,34,4,6,3,2355667788
999999,160,16,12,10,16,6,9,2,76,22,8,8,6,2233455555699999
999999,160,17,8,12,14,5,5,1,32,42,6,8,5,11344477888999
999999,160,18,4,14,15,3,10,0,29,47,13,2,11,222455677889999
999999,160,19,9,13,15,5,8,1,43,48,11,4,8,112356678888899
999999,160,20,12,17,8,5,12,3,76,37,4,4,2,12336689
999999,160,21,16,17,16,10,13,2,115,67,11,5,11,1222223455688999
999999,160,22,13,11,11,6,6,2,85,44,4,7,2,11111445689
999999,160,23,10,15,11,4,14,2,54,54,7,4,4,12456666688
999999,160,24,10,15,13,4,9,1,73,51,7,6,5,1122334556999
999999,160,25,14,17,11,6,10,1,68,61,7,4,3,24556778889
999999,160,26,9,9,17,3,3,0,46,37,7,10,1,12333456677778889
999999,160,27,9,11,12,5,6,0,60,38,3,9,2,112444555779
999999,160,28,11,10,12,6,6,3,71,33,9,3,4,233444455678
999999,160,29,11,12,13,5,3,2,72,35,6,7,3,2333344577889
999999,160,30,11,15,12,4,9,1,69,57,7,5,6,234467888999
999999,160,31,4,16,12,3,12,0,22,55,6,6,3,223345667899
999999,160,32,12,11,15,6,6,2,74,41,6,9,4,123455556667899
999999,160,33,11,10,14,5,4,2,62,28,6,8,2,12234445567799
999999,160,34,5,14,15,2,6,1,34,62,9,6,6,112224555566678
999999,160,35,10,9,17,3,3,1,58,40,7,10,5,22334445566688889
999999,160,36,8,13,12,5,8,0,49,45,5,7,4,233456688889
999999,160,37,11,14,17,4,6,1,60,47,8,9,4,12333455577788899
999999,160,38,10,15,12,6,8,0,54,50,2,10,2,122244445578
999999,160,39,13,17,13,9,10,2,72,65,6,7,5,2334555577788
999999,160,40,5,12,15,2,6,1,38,34,9,6,7,223455577778889
